Metric,2024,2023,Change
Gross merchandise volume (GMV) (in m EUR),"15,296.20","14,631.00",4.50%
Revenue (in m EUR),"10,572.50","10,143.10",4.20%
Adjusted EBIT (in m EUR),511.1,349.9,46.00%
Adjusted EBIT margin (%),4.8,3.5,1.4 pp
EBIT (in m EUR),391.9,190.9,>100%
EBIT margin (%),3.7,1.9,1.8 pp
Capex (in m EUR),-206.9,-263.2,-21.40%
Active customers (LTM) (in m),51.8,49.6,4.50%
Number of orders (in m),251,244.8,2.50%
Average GMV per active customer (LTM) (in EUR),295.4,295.2,0.10%
Average orders per active customer (LTM),4.8,4.9,-1.90%
Average basket size (LTM) (in EUR),60.9,59.8,2.00%
