Metric,2024,2023,Change
Net working capital (in m EUR),-269.30,-441.80,39.00%
Equity ratio (% of total assets),33.40,30.50,2.9 pp
Cash flow from operating activities (in m EUR),654.1,949.5,-31.10%
Cash flow from investing activities (in m EUR),-269.8,-320.7,15.90%
Free cash flow (in m EUR),379.4,683.8,-44.50%
Cash and cash equivalents (in m EUR),"2,587.80","2,533.20",2.20%
Average number of employees,"15,309","15,793",-3.10%
Basic earnings per share (in EUR),0.97,0.32,>100%
Diluted earnings per share (in EUR),0.96,0.32,>100%
