Metric,2024,2023,Change,Change_Value
Adjusted EBIT (in m EUR),511.1,349.9,46.00%,46
Gross merchandise volume (GMV) (in m EUR),"15,296.20","14,631.00",4.50%,4.5
Active customers (LTM) (in m),51.80,49.60,4.50%,4.5
Revenue (in m EUR),"10,572.50","10,143.10",4.20%,4.2
Number of orders (in m),251,244.8,2.50%,2.5
Average basket size (LTM) (in EUR),60.9,59.8,2.00%,2
EBIT margin (%),3.7,1.9,1.8 pp,1.8
Adjusted EBIT margin (%),4.80,3.50,1.4 pp,1.4
Average GMV per active customer (LTM) (in EUR),295.40,295.20,0.10%,0.1
EBIT (in m EUR),391.90,190.90,>100%,0
Average orders per active customer (LTM),4.8,4.9,-1.90%,-1.9
Capex (in m EUR),-206.9,-263.2,-21.40%,-21.4
